CustomerID,RegistrationDate,Age,gender,occupation,income
CID-508297,12/3/2015,31,M,SelfEmployed,382357
CID-235997,7/12/2014,27,M,Business,424830
CID-115835,1/25/2013,14,M,Others,320797
CID-786249,4/25/2013,32,F,Others,715379
CID-290399,12/25/2015,35,M,Business,253279
CID-193505,7/22/2016,15,M,SelfEmployed,256460
CID-66647,8/21/2016,29,F,Others,122856
CID-690821,12/27/2015,5,M,SelfEmployed,538394
CID-195167,7/20/2016,28,M,Others,534102
CID-176310,4/27/2015,24,F,Employee,826936
CID-473949,10/19/2013,17,F,Business,57449
CID-869495,12/26/2013,38,F,SelfEmployed,618333
CID-191749,1/17/2013,34,M,Employee,157486
CID-308959,3/21/2016,28,F,Others,535674
CID-64096,8/27/2015,20,M,Business,49583
CID-168126,5/7/2014,13,M,SelfEmployed,587725
CID-717767,4/10/2014,2,M,SelfEmployed,532328
CID-855049,7/26/2013,11,F,Employee,26284
CID-745362,2/13/2015,29,F,Employee,644897
CID-878608,2/7/2013,22,M,Employee,883108
CID-208014,1/26/2016,10,M,Business,132246
CID-317503,10/28/2013,36,M,Employee,662471
CID-529519,9/22/2015,5,M,SelfEmployed,1533
CID-838481,4/11/2013,35,F,Business,118879
CID-203105,3/6/2016,41,F,Business,56549
CID-741247,3/9/2015,2,M,Business,266539
CID-670069,2/1/2014,9,M,Business,218563
CID-377126,3/16/2016,33,M,Business,886529
CID-315161,6/24/2016,35,F,Business,189543
CID-577939,6/1/2015,24,F,Business,891464
CID-849615,7/3/2014,30,M,Business,709899
CID-20609,8/20/2013,33,F,Business,505027
CID-740536,10/17/2013,40,M,Others,468040
CID-741102,2/2/2013,23,F,SelfEmployed,384894
CID-102467,7/22/2014,37,M,SelfEmployed,527646
CID-789184,1/4/2016,3,M,Business,437905
CID-338306,11/5/2015,13,F,Others,395204
CID-761810,10/31/2013,5,F,SelfEmployed,143738
CID-312944,6/21/2015,5,M,Others,380346
CID-670849,7/2/2015,34,F,Employee,736882
CID-786979,6/3/2015,37,F,Others,571862
CID-766509,5/5/2016,5,M,Others,835801
CID-198139,8/11/2014,24,F,Employee,28691
CID-621285,12/10/2013,26,F,Employee,326347
CID-683437,7/8/2016,28,F,Others,889712
CID-271866,6/17/2016,11,M,SelfEmployed,176400
CID-58979,2/20/2014,28,M,Others,318013
CID-716744,5/16/2013,20,M,Employee,507842
CID-513144,8/1/2016,35,F,Employee,287594
CID-360393,4/27/2015,38,F,Business,847542
CID-776417,11/3/2014,25,M,Business,817247
CID-675993,2/19/2014,41,F,SelfEmployed,31551
CID-650683,6/25/2014,32,M,Others,372193
CID-158188,9/10/2015,10,F,Employee,193423
CID-307006,5/18/2015,34,M,Others,80641
CID-313077,4/1/2016,19,M,Employee,106825
CID-571524,9/24/2016,36,M,SelfEmployed,149536
CID-157193,3/30/2013,40,F,Business,489097
CID-172318,7/9/2013,23,M,Others,314492
CID-595066,3/18/2014,28,M,Others,779027
CID-862131,3/4/2014,19,M,Business,781199
CID-790714,12/30/2014,18,M,Employee,613299
CID-71601,5/12/2014,21,M,SelfEmployed,793369
CID-70825,4/20/2014,28,F,Business,243338
CID-492660,10/12/2015,39,M,SelfEmployed,773859
CID-152410,11/12/2013,34,F,Business,4509
CID-76625,4/22/2016,2,M,Others,249721
CID-441504,8/1/2014,24,F,Others,250105
CID-780867,11/6/2014,38,F,Business,169039
CID-215575,11/17/2015,13,F,Employee,757078
CID-162073,11/9/2013,12,F,Others,522881
CID-276454,5/1/2014,40,F,Employee,839304
CID-729712,6/3/2014,6,M,Employee,864606
CID-543780,10/13/2013,36,F,Business,118571
CID-295513,12/30/2015,34,F,SelfEmployed,868369
CID-564501,8/18/2013,8,F,Business,69232
CID-285154,3/18/2015,18,F,Business,709108
CID-661020,4/30/2014,11,M,Employee,279732
CID-779688,2/13/2016,11,F,SelfEmployed,557700
CID-138895,2/24/2014,20,M,Employee,325442
CID-338893,1/20/2015,34,M,Others,886724
CID-196394,10/31/2015,13,F,SelfEmployed,815212
CID-842903,4/6/2014,27,F,Others,562678
CID-252769,6/11/2014,4,M,SelfEmployed,24829
CID-813796,8/17/2016,41,F,Others,64113
CID-812608,7/1/2016,22,F,Others,196395
CID-280495,3/10/2016,11,M,Business,355589
CID-385351,5/14/2014,18,F,Employee,832124
CID-653366,3/26/2016,34,M,SelfEmployed,322598
CID-773514,11/26/2014,16,M,Business,119104
CID-671629,7/22/2013,24,M,SelfEmployed,564328
CID-497474,4/21/2015,23,M,Employee,553453
CID-420935,11/14/2014,36,M,Others,235447
CID-105655,8/15/2016,29,F,SelfEmployed,303146
CID-51722,1/31/2014,20,M,Business,496918
CID-223463,2/24/2015,19,M,Business,118002
CID-665972,2/27/2013,4,F,SelfEmployed,117083
CID-781298,1/20/2016,3,F,Employee,648333
CID-92998,3/29/2015,5,F,Employee,138490
CID-127964,11/25/2015,20,M,SelfEmployed,94153
CID-236762,9/1/2014,29,F,Others,727266
CID-247638,9/12/2013,39,F,SelfEmployed,226793
CID-231811,6/24/2014,31,F,Employee,343935
CID-235450,2/23/2015,22,F,SelfEmployed,276398
CID-114839,10/28/2013,24,F,Employee,356956
CID-784098,6/28/2015,33,F,Employee,191187
CID-774204,9/5/2013,21,F,Business,176958
CID-692897,9/9/2015,9,M,Business,62983
CID-635618,6/16/2013,13,M,Others,365457
CID-684063,6/30/2013,25,F,Employee,850631
CID-865479,10/28/2014,24,M,Employee,636998
CID-583599,10/21/2015,34,F,Business,221446
CID-7160,8/23/2016,20,F,Business,113377
CID-397299,3/25/2015,29,M,SelfEmployed,390251
CID-289452,3/26/2015,17,M,SelfEmployed,234505
CID-144097,12/8/2013,10,M,Employee,714828
CID-608936,1/5/2014,25,M,SelfEmployed,724697
CID-235567,7/15/2016,25,M,SelfEmployed,733114
CID-30863,7/9/2013,26,F,SelfEmployed,110429
CID-55945,12/13/2014,23,F,Others,556008
CID-89134,10/5/2013,15,M,Employee,283682
CID-649270,9/9/2013,1,M,SelfEmployed,688770
CID-736117,6/6/2015,40,F,Others,858998
CID-78299,6/9/2014,35,M,Business,61521
CID-44710,8/6/2014,23,M,Employee,175272
CID-35404,1/30/2014,34,M,SelfEmployed,34517
CID-800567,6/1/2016,7,F,Employee,79732
CID-768934,12/17/2015,3,M,Others,304571
CID-630790,9/14/2013,39,M,Others,287758
CID-186948,7/25/2016,20,F,Employee,353896
CID-566730,8/4/2013,22,F,Employee,44697
CID-626800,7/14/2015,3,F,Employee,319480
CID-835177,12/21/2014,14,F,SelfEmployed,396234
CID-555374,8/26/2015,9,M,Employee,468818
CID-276985,2/18/2013,4,F,Others,556797
CID-223985,4/1/2014,29,M,Employee,830295
CID-885771,2/23/2013,30,M,Business,753444
CID-496,5/14/2015,36,M,Others,220371
CID-265254,11/16/2013,12,M,Others,96026
CID-76979,5/14/2016,23,F,Employee,363415
CID-214023,7/25/2013,5,F,Business,875958
CID-805163,12/26/2014,13,M,Others,831005
CID-816024,10/2/2013,21,M,Business,124259
CID-622387,1/10/2014,37,M,Business,218377
CID-767822,7/22/2015,13,F,Business,143755
CID-106518,1/26/2015,40,M,Business,190115
CID-801471,7/31/2014,22,M,Business,12311
CID-882316,1/14/2014,7,F,Others,584850
CID-247723,9/1/2016,27,F,SelfEmployed,874978
CID-94710,4/9/2016,4,F,Others,443762
CID-66231,10/16/2014,34,M,Business,490854
CID-119010,6/12/2013,6,M,Others,479731
CID-734412,2/4/2014,3,F,Business,45804
CID-525299,6/16/2015,6,F,Business,22574
CID-519975,3/13/2013,19,M,Employee,549268
CID-713557,5/16/2016,40,F,Employee,686227
CID-28333,4/7/2016,5,M,Business,427287
CID-475981,3/14/2014,41,F,Others,611256
CID-555718,3/20/2014,8,F,Others,457498
CID-431122,5/21/2013,1,F,Others,393854
CID-696701,1/13/2013,25,F,Others,147819
CID-535779,3/22/2016,17,M,Others,17506
CID-67648,3/8/2014,40,F,SelfEmployed,637022
CID-743015,3/14/2013,21,F,Business,295534
CID-371835,7/18/2014,2,M,SelfEmployed,389168
CID-376801,9/17/2013,38,M,SelfEmployed,739140
CID-683988,4/21/2015,31,M,Employee,749538
CID-398553,8/27/2013,2,M,Employee,392816
CID-768721,8/27/2016,5,F,Others,602873
CID-409227,7/27/2014,13,M,Others,60472
CID-705858,3/18/2015,20,F,Employee,89486
CID-855951,3/7/2014,27,F,Business,638929
CID-540788,8/6/2014,6,M,Others,515741
CID-629812,2/25/2014,34,F,SelfEmployed,885665
CID-82515,5/17/2013,35,M,Employee,453375
CID-893133,9/15/2013,4,F,Others,770126
CID-857487,6/6/2014,13,F,Employee,35825
CID-631522,7/12/2013,33,M,Employee,161150
CID-842765,12/9/2014,35,F,Business,663183
CID-64043,3/3/2016,18,F,Employee,680061
CID-101901,12/14/2014,32,F,Business,432244
CID-77813,6/16/2016,2,M,Business,168344
CID-387428,4/2/2014,27,F,Business,343087
CID-205436,11/27/2015,39,F,SelfEmployed,343241
CID-609875,2/3/2014,30,F,Employee,611010
CID-765602,3/29/2016,41,F,SelfEmployed,828516
CID-465545,2/5/2014,19,M,SelfEmployed,282847
CID-105836,8/31/2014,31,F,Business,892562
CID-253329,12/15/2015,25,M,Others,734218
CID-174248,5/31/2015,24,F,Employee,36878
CID-880323,12/13/2014,23,F,SelfEmployed,712364
CID-513041,8/14/2014,25,M,Business,682822
CID-877074,7/4/2014,28,F,Employee,575610
CID-371207,5/25/2015,13,M,SelfEmployed,171701
CID-766572,3/4/2014,17,F,SelfEmployed,606277
CID-530520,1/27/2015,41,M,Business,138499
CID-31423,4/26/2016,10,F,SelfEmployed,511550
CID-496134,1/28/2015,15,M,Others,102936
CID-205988,1/4/2015,8,F,SelfEmployed,719213
CID-352912,12/24/2014,40,F,Others,710695
CID-883426,6/23/2016,27,F,Employee,717022
CID-117728,5/12/2016,27,F,SelfEmployed,714670
CID-604921,6/1/2015,14,M,SelfEmployed,469092
CID-199561,4/4/2015,9,F,Employee,783910
CID-306432,5/16/2016,40,F,SelfEmployed,464847
CID-882217,3/26/2013,4,M,Others,370420
CID-715856,1/10/2016,12,M,Others,324680
CID-364,6/9/2013,19,F,SelfEmployed,166612
CID-213334,12/30/2014,31,F,Business,786613
CID-807938,10/26/2015,1,F,SelfEmployed,447834
CID-308962,3/12/2015,37,F,Business,258141
CID-814647,7/13/2015,24,F,Employee,374854
CID-616445,5/1/2013,1,M,Others,802773
CID-732017,11/12/2014,6,F,Employee,664001
CID-120770,4/20/2015,10,F,Employee,100869
CID-511408,11/8/2014,18,M,Business,673572
CID-560816,8/18/2014,18,F,Business,772201
CID-713878,9/21/2014,2,F,Business,9324
CID-836097,12/31/2015,11,M,Others,779346
CID-756201,4/8/2014,13,M,SelfEmployed,464069
CID-18998,8/19/2016,40,M,Business,820693
CID-737876,2/23/2013,27,F,Business,252954
CID-853264,3/3/2013,9,F,SelfEmployed,9192
CID-99733,4/20/2014,30,F,Business,404129
CID-734982,7/11/2014,15,F,Employee,67047
CID-732397,1/23/2013,5,F,Employee,823646
CID-875985,12/25/2014,4,M,Employee,424245
CID-532729,8/15/2014,3,M,Business,656739
CID-806256,7/25/2016,6,M,Others,726969
CID-72405,8/22/2014,35,M,SelfEmployed,109639
CID-549169,4/25/2015,4,M,Others,813725
CID-351225,7/31/2015,10,M,Business,550899
CID-256024,7/30/2015,29,F,Others,874578
CID-414395,4/2/2013,25,F,Business,870015
CID-472346,7/16/2014,38,M,Business,352949
CID-628299,1/31/2013,21,M,SelfEmployed,249635
CID-513007,1/27/2014,12,F,SelfEmployed,525731
CID-327009,6/23/2015,39,M,Others,841424
CID-742094,12/16/2013,29,M,SelfEmployed,609091
CID-768796,5/8/2013,18,F,SelfEmployed,246466
CID-758974,1/23/2014,27,F,SelfEmployed,20276
CID-272110,3/17/2015,21,F,SelfEmployed,336154
CID-301927,5/26/2013,29,F,Employee,303826
CID-3681,3/17/2014,38,M,SelfEmployed,707729
CID-174997,12/14/2013,13,F,SelfEmployed,215151
CID-575605,1/25/2016,10,M,Others,399585
CID-88206,5/10/2013,37,M,Others,422679
CID-608781,12/14/2013,12,F,Others,573852
CID-37727,9/3/2015,33,F,Business,104384
CID-842982,8/11/2013,25,M,Others,875931
CID-323644,5/12/2015,20,F,SelfEmployed,747797
CID-343281,10/31/2013,17,M,Employee,198068
CID-634018,1/24/2015,16,M,Business,463954
CID-494930,8/27/2013,35,F,Employee,47414
CID-662480,11/18/2013,16,F,Others,71585
CID-844581,6/20/2015,20,M,Others,186453
CID-289887,6/16/2016,6,M,SelfEmployed,152076
CID-668009,1/2/2013,39,F,Others,117
CID-107076,5/30/2016,27,F,Others,371350
CID-579350,6/20/2016,18,M,Others,440432
CID-84455,7/18/2013,32,F,Employee,712740
CID-661944,4/13/2015,10,M,Others,129885
CID-179850,5/30/2013,9,M,Business,675920
CID-394873,9/20/2016,5,F,Business,198595
CID-586797,4/26/2014,1,M,SelfEmployed,773686
CID-870431,3/26/2014,33,F,Employee,517933
CID-366977,2/3/2014,15,F,Business,46985
CID-571591,6/9/2016,16,M,Employee,637347
CID-830612,8/11/2014,1,M,Business,544046
CID-767660,10/18/2013,30,F,SelfEmployed,771887
CID-17140,8/3/2015,22,M,SelfEmployed,625580
CID-18461,3/5/2013,39,M,SelfEmployed,434298
CID-704517,1/31/2015,12,F,SelfEmployed,65485
CID-793771,7/6/2013,33,F,Employee,762376
CID-834731,6/18/2014,16,F,Others,183011
CID-823973,2/28/2015,30,M,SelfEmployed,402726
CID-118109,12/22/2014,40,M,SelfEmployed,725399
CID-257215,5/30/2016,23,F,Business,878817
CID-719504,6/4/2014,6,F,Others,744355
CID-599331,12/4/2015,15,F,Business,597329
CID-100741,10/23/2014,1,M,Others,460648
CID-551242,8/14/2013,36,M,Business,866944
CID-156037,8/10/2014,40,F,Business,112522
CID-225100,9/7/2014,28,M,SelfEmployed,591558
CID-39946,1/1/2015,30,F,Others,396987
CID-90360,1/24/2013,32,F,Employee,666896
CID-52587,7/10/2016,30,F,Business,10361
CID-266053,3/21/2013,1,F,Employee,485833
CID-410271,10/18/2015,23,M,Employee,66963
CID-492698,2/4/2015,33,M,SelfEmployed,707497
CID-387725,12/26/2015,9,F,SelfEmployed,575216
CID-529750,9/24/2013,9,M,Employee,190691
CID-557751,1/7/2014,23,M,Employee,690814
CID-450881,1/27/2016,4,M,Employee,21852
CID-639524,6/5/2014,30,F,Employee,226810
CID-832383,12/19/2015,7,F,SelfEmployed,439380
CID-246966,3/9/2014,3,F,Employee,539922
CID-250530,11/17/2015,28,F,Others,310473
CID-889060,5/25/2016,24,M,Business,76698
CID-872456,1/5/2015,26,M,SelfEmployed,677372
CID-554912,3/7/2016,26,M,Employee,48569
CID-363509,6/1/2015,3,M,Others,181120
CID-487389,9/15/2013,29,M,Others,630425
CID-566623,10/4/2013,37,M,Business,812430
CID-829319,8/26/2016,15,M,Employee,876975
CID-190939,12/5/2015,29,F,Employee,404818
CID-767053,10/23/2013,41,F,Employee,574397
CID-43867,9/8/2016,29,M,Business,565475
CID-622532,5/18/2013,21,M,Employee,528344
CID-768741,7/17/2014,9,M,Business,55523
CID-711872,1/22/2016,38,M,Others,574065
CID-550535,4/10/2015,24,M,SelfEmployed,739937
CID-341871,11/18/2013,38,M,Others,406421
CID-641644,5/30/2015,23,F,Employee,565822
CID-751216,2/2/2016,6,M,Others,400487
CID-493707,3/11/2014,31,M,Business,625315
CID-598380,1/9/2013,1,F,SelfEmployed,810987
CID-173039,11/8/2015,41,F,SelfEmployed,51495
CID-24656,7/14/2014,12,F,Business,856181
CID-315586,1/26/2015,13,F,Business,243934
CID-260828,1/2/2014,5,M,Business,70035
CID-835224,6/23/2016,22,M,SelfEmployed,4138
CID-407731,9/4/2015,2,M,Employee,357689
CID-326300,7/26/2013,22,M,Business,554330
CID-672177,8/7/2015,4,F,Others,173870
CID-515696,6/7/2016,3,F,SelfEmployed,296440
CID-890217,1/3/2015,20,M,Others,637730
CID-487325,2/28/2015,33,F,Employee,764616
CID-56270,3/18/2015,9,M,Employee,135492
CID-644445,8/6/2014,38,F,Business,755093
CID-510674,11/15/2015,1,M,Business,674123
CID-119973,1/24/2015,33,M,Others,808561
CID-558122,7/7/2014,10,M,Others,765243
CID-28584,2/20/2015,25,F,Business,134378
CID-581897,1/18/2016,7,M,Business,784179
CID-478717,7/1/2013,3,M,Business,728432
CID-338718,7/9/2014,17,M,Employee,884177
CID-304520,1/8/2014,29,F,SelfEmployed,546011
CID-330550,12/17/2014,15,M,Employee,838566
CID-799137,1/9/2013,5,M,Business,230819
CID-368615,8/19/2013,38,M,Business,844564
CID-493354,2/23/2014,18,F,SelfEmployed,401155
CID-406451,3/6/2015,4,F,SelfEmployed,768090
CID-322034,1/2/2016,5,M,Others,840882
CID-570801,10/31/2014,7,M,Others,369472
CID-21077,5/21/2015,41,M,Others,46230
CID-453583,3/15/2015,29,F,Employee,296905
CID-673428,3/21/2016,19,M,Employee,728722
CID-57066,6/23/2015,4,M,Employee,526964
CID-710567,6/23/2016,18,F,Business,799982
CID-768829,3/14/2016,40,M,Others,267515
CID-791882,12/20/2015,3,M,Employee,107341
CID-594504,8/20/2016,21,F,SelfEmployed,746221
CID-249266,2/16/2016,8,F,Business,172283
CID-350406,4/27/2015,36,M,Employee,829350
CID-625722,6/1/2016,3,M,SelfEmployed,184224
