CustomerID,SavingsID,AvgBalance
CID-542704,SID-871603,82829
CID-462844,SID-425429,76697
CID-35408,SID-371633,22127
CID-749322,SID-830844,79753
CID-667693,SID-584706,30692
CID-879623,SID-768921,16482
CID-174780,SID-293620,72415
CID-382275,SID-405015,97268
CID-870023,SID-154942,95308
CID-660565,SID-624012,11569
CID-823840,SID-610380,98791
CID-327041,SID-78631,45594
CID-178066,SID-297891,61048
CID-591783,SID-369560,80595
CID-194719,SID-167987,38537
CID-488996,SID-320990,23495
CID-391118,SID-818468,40811
CID-647357,SID-194893,26540
CID-611943,SID-14357,79560
CID-472270,SID-556782,92820
CID-357500,SID-410619,12638
CID-584481,SID-835701,59504
CID-617404,SID-522896,98193
CID-406134,SID-889979,4095
CID-424321,SID-747048,97093
CID-772224,SID-899992,38994
CID-765716,SID-885418,4616
CID-828532,SID-475454,90653
CID-648929,SID-110885,10942
CID-16738,SID-93580,94818
CID-690492,SID-501257,90885
CID-221524,SID-593608,9629
CID-375589,SID-128276,18481
CID-269428,SID-393866,1061
CID-626800,SID-77086,13197
CID-760030,SID-723170,95914
CID-558777,SID-734029,73896
CID-482505,SID-271588,21135
CID-454119,SID-703109,14449
CID-648931,SID-704603,34960
CID-845529,SID-771137,708
CID-51057,SID-462647,66922
CID-734411,SID-135007,17975
CID-582315,SID-573124,8140
CID-816024,SID-1312,50879
CID-33846,SID-517831,63842
CID-12536,SID-169082,14744
CID-621165,SID-628872,62973
CID-198491,SID-272560,17617
CID-689510,SID-517879,18864
CID-32928,SID-759363,32165
CID-523142,SID-567793,52142
CID-40207,SID-877626,16121
CID-81956,SID-18781,35941
CID-213334,SID-326897,89139
CID-525785,SID-320054,23113
CID-841016,SID-66684,46790
CID-611730,SID-97230,96053
CID-449546,SID-597917,1255
CID-282837,SID-542355,17748
CID-772794,SID-586470,87175
CID-372693,SID-312677,17618
CID-521244,SID-526118,76736
CID-15861,SID-101429,49233
CID-285121,SID-376122,65794
CID-886116,SID-166816,63766
CID-517665,SID-190503,94160
CID-254916,SID-629557,45731
CID-21541,SID-100079,31036
CID-348714,SID-229198,78313
CID-424872,SID-127845,12380
CID-481478,SID-381343,73497
CID-11175,SID-604696,59913
CID-20885,SID-259467,71241
CID-273517,SID-485897,41755
CID-307900,SID-78410,11295
CID-719756,SID-509897,85891
CID-500392,SID-272930,6900
CID-25586,SID-394756,16339
CID-112100,SID-2234,60525
CID-54765,SID-385973,55479
CID-697377,SID-851724,64101
CID-49990,SID-80876,3095
CID-473907,SID-657705,11769
CID-539967,SID-724708,23598
CID-580052,SID-681707,23338
CID-677381,SID-283053,5093
CID-501883,SID-624853,52736
CID-396661,SID-45463,61878
CID-717531,SID-186759,76156
CID-586581,SID-467593,24311
CID-585081,SID-171500,36340
CID-496825,SID-158572,99824
CID-206595,SID-246804,10311
CID-76591,SID-659615,70337
CID-730363,SID-252356,75229
CID-709718,SID-9894,19542
CID-247048,SID-96657,57061
CID-572970,SID-878427,71800
CID-391883,SID-459075,45582
CID-598159,SID-57504,63181
CID-525082,SID-413625,78945
CID-542031,SID-705774,93483
CID-781288,SID-478462,33749
CID-34971,SID-863863,13559
CID-515455,SID-28993,9648
CID-311271,SID-681603,95808
CID-594504,SID-107165,89387
CID-609203,SID-396098,97670
CID-774946,SID-33358,70061
CID-598378,SID-69904,42013
CID-261902,SID-596238,97384
CID-629955,SID-745181,95185
CID-726348,SID-646404,46488
CID-805339,SID-499961,87687
CID-369797,SID-109998,72627
CID-234371,SID-752161,1786
CID-240569,SID-717353,94585
CID-594863,SID-186871,51400
CID-445101,SID-226097,8707
CID-891744,SID-129253,2664
CID-90584,SID-39762,69814
CID-12234,SID-278401,44833
CID-28379,SID-737817,94999
CID-158845,SID-277713,21635
CID-316310,SID-88459,20183
CID-520672,SID-237001,77518
CID-264573,SID-667011,53984
CID-657573,SID-436368,73603
CID-704723,SID-77762,44447
CID-295659,SID-279777,78046
CID-644572,SID-353937,8539
CID-831843,SID-624068,12383
CID-84328,SID-393265,9977
CID-552288,SID-333199,12623
CID-486844,SID-14324,77713
CID-601282,SID-305950,2875
CID-852003,SID-223522,18563
CID-456489,SID-122189,87486
CID-251540,SID-339621,21920
CID-4566,SID-401856,61093
CID-5952,SID-342540,97313
CID-324491,SID-121847,84495
CID-201994,SID-21499,61521
CID-834713,SID-503849,35996
CID-577895,SID-887163,69272
CID-130013,SID-514763,69411
CID-322634,SID-483929,58737
CID-42136,SID-130704,29728
CID-662966,SID-684787,38630
CID-654542,SID-646939,62015
CID-549877,SID-399370,88241
CID-781179,SID-482958,84007
CID-263772,SID-95919,52597
CID-766572,SID-119074,98381
CID-550600,SID-604121,75592
CID-321899,SID-142168,6932
CID-356975,SID-829850,62620
CID-314868,SID-310460,19617
CID-78550,SID-433151,47747
CID-895285,SID-588209,16047
CID-616857,SID-46377,50764
CID-775384,SID-578729,39428
CID-182617,SID-746937,79476
CID-343025,SID-462368,56774
CID-400803,SID-704240,9462
CID-628561,SID-558440,25469
CID-156487,SID-288124,23148
CID-586481,SID-794875,75948
CID-307854,SID-2072,4306
CID-894392,SID-442919,29804
CID-108361,SID-104291,29735
CID-436923,SID-293492,73437
CID-212484,SID-551622,9270
CID-259990,SID-548753,9047
CID-420221,SID-31775,68203
CID-856253,SID-846079,9869
CID-771736,SID-280301,57756
CID-101901,SID-373827,96701
CID-404367,SID-382981,70458
CID-94540,SID-12401,11766
CID-728450,SID-361601,14037
CID-47901,SID-858490,27399
CID-866833,SID-127154,74097
CID-171857,SID-716022,34048
CID-330094,SID-181414,49732
CID-435047,SID-574116,22003
CID-8040,SID-396310,41957
CID-529167,SID-22722,952
CID-546850,SID-456937,87912
CID-11616,SID-625599,97811
CID-892295,SID-619278,80772
CID-590475,SID-114268,13864
CID-235567,SID-456732,3299
CID-174260,SID-508965,13266
CID-493388,SID-70531,50744
CID-238324,SID-881953,10824
CID-301458,SID-690429,9796
CID-532472,SID-868124,17578
CID-329646,SID-535643,80167
CID-401924,SID-533470,42468
CID-494589,SID-329601,60899
CID-605265,SID-301106,87335
CID-390216,SID-508850,4350
CID-28195,SID-559454,84820
CID-791280,SID-790361,84376
CID-532126,SID-39463,33090
CID-195601,SID-819431,82383
CID-314925,SID-382268,73104
CID-487777,SID-602812,31265
CID-397741,SID-823206,96322
CID-546030,SID-128020,4062
CID-435544,SID-782921,40700
CID-756750,SID-501086,31978
CID-423778,SID-369962,9261
CID-612562,SID-118411,50338
CID-61815,SID-746653,44965
CID-12858,SID-137222,95009
CID-260590,SID-479988,24946
CID-782627,SID-740016,12364
CID-94710,SID-598578,90544
CID-840081,SID-858099,85965
CID-8712,SID-64324,93393
CID-616429,SID-375778,75312
CID-665310,SID-332967,26021
CID-835719,SID-660401,51882
CID-486859,SID-373150,32880
CID-252720,SID-356540,14263
CID-721114,SID-345061,12737
CID-714231,SID-441065,33009
CID-646422,SID-611849,71333
CID-524947,SID-559567,13351
CID-506254,SID-88814,5597
CID-176439,SID-236367,58654
CID-357912,SID-54729,59309
CID-179251,SID-755200,72018
CID-588215,SID-713031,5286
CID-644397,SID-148997,30922
CID-662429,SID-877863,52842
CID-624263,SID-709518,95475
CID-747608,SID-826841,26368
CID-65914,SID-490986,20461
CID-615187,SID-885279,63943
CID-753900,SID-344731,32656
CID-579570,SID-25612,41565
CID-181849,SID-237332,30051
CID-820996,SID-84202,80541
CID-703552,SID-345386,10456
CID-151462,SID-865962,67969
CID-625156,SID-168203,83745
CID-313774,SID-15606,91456
CID-648571,SID-326136,1332
CID-320255,SID-514125,76357
CID-207569,SID-392141,43205
CID-7250,SID-802254,50765
CID-790665,SID-550134,14179
CID-710254,SID-578297,82850
CID-390983,SID-459433,61103
CID-597041,SID-619959,51069
CID-832443,SID-433994,31837
CID-159527,SID-71083,60847
CID-878608,SID-593705,24317
CID-812608,SID-412157,61935
CID-865689,SID-601823,36769
CID-272609,SID-225559,42325
CID-265021,SID-391343,22720
CID-404188,SID-633918,75003
CID-500384,SID-303261,5049
CID-271098,SID-640418,74361
CID-626577,SID-381896,70418
CID-645910,SID-384934,23572
CID-653497,SID-515268,29768
CID-963,SID-787163,42893
CID-682424,SID-122172,69320
CID-229092,SID-69488,73076
CID-451344,SID-762595,53519
CID-58366,SID-247548,68147
CID-432078,SID-536581,57339
CID-759903,SID-433136,742
CID-146207,SID-249684,45395
CID-426125,SID-327791,74970
CID-652473,SID-635215,56154
CID-156947,SID-591565,13304
CID-524545,SID-491138,74330
CID-718095,SID-136276,91973
CID-264073,SID-769184,49271
CID-898197,SID-31147,47195
CID-844000,SID-398669,2511
CID-173453,SID-363176,84931
CID-246806,SID-174551,80469
CID-502432,SID-10373,49399
CID-430187,SID-805024,44611
CID-612971,SID-310034,23729
CID-652048,SID-353433,88027
CID-235497,SID-114416,58836
CID-99658,SID-638056,93974
CID-684276,SID-827289,93262
CID-69356,SID-449571,91200
CID-856346,SID-403330,75053
CID-210105,SID-202537,60172
CID-406310,SID-621237,54946
CID-811271,SID-441439,95019
CID-528888,SID-14888,40437
CID-816039,SID-605434,58282
CID-504504,SID-73675,43083
CID-224546,SID-302221,90738
CID-896749,SID-227931,32309
CID-631923,SID-9528,95834
CID-161113,SID-187085,37699
CID-268576,SID-628857,48474
CID-809258,SID-893947,32051
CID-46644,SID-468772,2230
CID-44184,SID-472573,85639
CID-188438,SID-614982,11903
CID-409161,SID-8796,90161
CID-518976,SID-390070,14483
CID-837784,SID-610796,46793
CID-213003,SID-246090,53680
CID-273846,SID-146234,66144
CID-521561,SID-850130,96246
CID-13378,SID-347407,66276
CID-472473,SID-196693,85795
CID-408458,SID-523101,93097
CID-685951,SID-222334,3007
CID-163297,SID-162643,97851
CID-826318,SID-68188,50796
CID-801276,SID-863069,34971
CID-115469,SID-787034,52909
CID-432318,SID-327699,39974
CID-204359,SID-341083,23451
CID-494310,SID-353329,67799
CID-280735,SID-207182,54772
CID-23583,SID-718258,83483
CID-30137,SID-431902,23773
CID-425840,SID-528085,40005
CID-156283,SID-259611,4860
CID-485994,SID-484746,22584
CID-338122,SID-652446,26839
CID-220688,SID-526885,23247
CID-352907,SID-461088,45103
CID-367020,SID-582919,67462
CID-150328,SID-668608,22381
CID-129208,SID-791287,65450
CID-97204,SID-476115,40993
CID-542524,SID-725375,87608
CID-3394,SID-625000,30439
CID-423761,SID-303816,15502
CID-31798,SID-334820,55022
CID-643658,SID-754335,17691
CID-869315,SID-762781,3297
CID-422706,SID-821669,77076
CID-287554,SID-403955,95226
CID-101780,SID-817465,67504
CID-283676,SID-663855,34072
CID-11453,SID-302800,94557
CID-448514,SID-479353,98909
CID-194582,SID-206989,65923
CID-36892,SID-726511,31659
CID-744747,SID-95370,47297
CID-519975,SID-764545,78907
CID-754224,SID-354830,85834
CID-544346,SID-441183,35801
CID-45970,SID-715064,46944
CID-208,SID-291014,53725
CID-76413,SID-452011,17066
CID-736665,SID-347111,25164
CID-878604,SID-403000,74270
CID-424123,SID-181021,24599
CID-651979,SID-614034,97971
CID-820697,SID-551985,66372
CID-88008,SID-71483,89275
CID-518667,SID-574482,70399
CID-166589,SID-292092,66567
CID-870597,SID-472872,2569
CID-409577,SID-573759,82890
CID-129241,SID-174253,73350
CID-665894,SID-112102,86236
CID-528890,SID-843267,15874
CID-216744,SID-74580,28514
CID-237203,SID-14395,6004
CID-519702,SID-815844,80818
CID-737507,SID-315173,46391
CID-190763,SID-79742,37351
CID-170971,SID-530454,26451
CID-833167,SID-846629,48577
CID-204944,SID-528470,86087
CID-298695,SID-141326,25108
CID-533325,SID-870501,3970
CID-114731,SID-370897,90468
CID-127321,SID-194004,1036
CID-144179,SID-94232,21074
CID-4106,SID-174989,77088
CID-379337,SID-320162,28349
CID-854055,SID-135770,93092
CID-258730,SID-679713,60827
CID-101233,SID-234068,99272
CID-236790,SID-211133,50867
CID-276050,SID-127380,81389
CID-886580,SID-537904,44465
CID-777371,SID-335223,88718
CID-57066,SID-440568,61329
CID-659816,SID-315554,44202
CID-141684,SID-489214,66522
CID-418235,SID-803491,85036
CID-157193,SID-289725,44659
CID-271866,SID-768340,98131
CID-392863,SID-844237,10152
CID-13893,SID-86032,8882
CID-568173,SID-689722,33283
CID-240732,SID-125102,95148
CID-613402,SID-153465,20731
CID-859537,SID-458603,31740
CID-355332,SID-723686,35514
CID-590532,SID-628275,320
CID-179035,SID-75134,26870
CID-780047,SID-54563,76566
CID-658796,SID-652956,95592
CID-749355,SID-512674,88610
CID-742500,SID-585718,99185
CID-564138,SID-858510,56849
CID-473949,SID-551721,99889
CID-29940,SID-96528,11683
CID-236762,SID-306020,57108
CID-54023,SID-520567,9523
CID-644841,SID-724760,46273
CID-189796,SID-296031,91878
CID-474036,SID-512691,29886
CID-860831,SID-280,50260
CID-456410,SID-872419,75833
CID-345217,SID-440691,90614
CID-81344,SID-897391,67332
CID-24172,SID-63894,1879
CID-203456,SID-178125,13470
CID-341622,SID-445871,74136
CID-776733,SID-780069,44684
CID-206144,SID-9342,3670
CID-588886,SID-256969,59082
CID-178980,SID-67138,86262
CID-652437,SID-118680,92411
CID-46939,SID-651965,32131
CID-362304,SID-427374,13590
CID-446838,SID-25969,76284
CID-202790,SID-167811,76923
CID-852808,SID-648510,4611
CID-60303,SID-18572,41589
CID-813410,SID-781504,6647
CID-61071,SID-809820,80065
CID-69331,SID-793205,93410
CID-60422,SID-376742,24104
CID-515693,SID-687987,34974
CID-122248,SID-780959,38362
CID-874170,SID-424679,29499
CID-583841,SID-811850,71001
CID-330403,SID-617705,15558
CID-241188,SID-561686,50842
CID-516862,SID-759651,57012
CID-652025,SID-704159,19142
CID-438553,SID-408195,54563
CID-383375,SID-644727,97258
CID-451103,SID-140929,56272
CID-104580,SID-172434,11867
CID-898718,SID-686802,30173
CID-616500,SID-71222,96544
CID-219336,SID-764100,43796
CID-745937,SID-850064,17683
CID-570931,SID-106650,31403
CID-794251,SID-34400,39342
CID-797174,SID-396847,32337
CID-461348,SID-416491,76926
CID-347337,SID-223766,30389
CID-90482,SID-639356,14571
CID-414395,SID-424243,39366
CID-498134,SID-288702,47199
CID-149755,SID-187250,6081
CID-752829,SID-164986,23848
CID-233995,SID-465339,73524
CID-436482,SID-710427,1677
CID-635830,SID-153834,64114
CID-448145,SID-175771,80946
CID-825087,SID-550101,97246
CID-69410,SID-772896,5613
CID-234581,SID-694629,50937
CID-524017,SID-884102,51088
CID-105742,SID-332908,48859
CID-543830,SID-801636,77057
CID-467260,SID-199124,94518
CID-606647,SID-63177,19590
CID-337512,SID-380115,89551
CID-303952,SID-134692,37450
CID-795943,SID-344134,17729
CID-449945,SID-818138,15236
CID-73296,SID-67869,76346
CID-32673,SID-115597,1767
CID-464110,SID-87164,62589
CID-394873,SID-689058,42830
CID-614308,SID-644600,20709
CID-495481,SID-881196,7320
CID-610762,SID-60718,83610
CID-363793,SID-9681,64355
CID-630764,SID-400866,32930
CID-394591,SID-423389,55481
CID-681543,SID-711009,57795
CID-702013,SID-238304,86601
CID-260554,SID-123454,12700
CID-828345,SID-831734,25237
CID-475036,SID-362114,45159
CID-507626,SID-290305,42841
CID-456314,SID-277351,43792
CID-464697,SID-502059,13185
CID-221252,SID-316362,37273
CID-502362,SID-588337,44821
